,housing_price
222,
223,
224,
225,47569.666666666664
226,
227,
228,
229,
230,67884.0
231,64225.0
232,
233,83857.0
234,66877.5
235,79927.0
236,
237,79069.66666666667
238,56903.333333333336
239,75401.0
240,69305.33333333333
241,
242,
243,54791.0
244,
245,67955.0
246,75672.0
247,76476.0
248,
249,
250,43970.5
251,
252,66845.0
253,31368.0
254,57084.71428571428
255,80267.0
256,77244.0
257,
258,48170.0
259,54610.0
260,
261,57791.833333333336
262,40868.0
263,72552.0
264,57646.625
265,
266,
267,54745.53846153846
268,58674.0
269,69380.0
270,58722.666666666664
271,
272,73608.0
273,68726.5
274,58167.0
275,64712.0
276,
277,
278,69258.0
279,64086.0
280,
281,
282,
283,58215.0
284,60041.17647058824
285,55979.0
286,75869.0
287,58987.0
288,77854.5
289,
290,78620.0
291,72102.66666666667
292,66623.0
293,
294,58187.0
295,
296,
297,71609.0
298,81741.0
299,55944.0
300,58217.0
301,58806.25
302,59463.0
303,59429.0
304,46632.75
305,66953.0
306,65366.0
307,65468.0
308,52114.0
309,60773.0
310,56508.0
311,
312,59833.0
313,
314,72081.0
315,65156.0
316,62615.0
317,54121.0
318,65515.5
319,
320,
321,57654.0
322,57645.0
323,69516.57142857143
324,55277.0
325,55218.666666666664
326,48326.333333333336
327,64285.333333333336
328,54812.0
329,69240.0
330,57803.5
331,55808.0
332,44888.0
333,52759.0
334,70554.0
335,61752.0
336,
337,51034.0
338,
339,57602.566666666666
340,64604.0
341,
342,51801.0
343,48867.0
344,53352.0
345,45979.0
346,
347,45940.333333333336
348,38108.0
349,46148.5
350,41288.0
351,
352,45230.666666666664
353,47340.0
354,
355,38852.666666666664
356,59691.666666666664
357,77801.33333333333
358,62507.0
359,
360,
361,
362,43780.0
363,47264.0
364,
365,57011.0
366,49481.5
367,45617.5
368,
369,
370,45967.5
371,60302.5
372,
373,62946.0
374,47199.0
375,43339.0
376,60740.333333333336
377,42870.333333333336
378,47284.333333333336
379,67116.6
380,57280.333333333336
381,59155.5
382,47306.0
383,48117.5
384,
385,
386,44260.666666666664
387,47769.5
388,55073.0
389,49654.666666666664
390,50677.8
391,
392,39452.0
393,54753.0
394,73745.0
395,47976.0
396,49435.333333333336
397,44052.0
398,51125.0
399,51301.0
400,
401,52924.8
402,63641.27272727273
403,
404,
405,46094.0
406,
407,
408,48031.0
409,46089.0
410,54856.333333333336
411,55165.0
412,63995.0
413,
414,45545.0
415,
416,47228.0
417,55700.0
418,
419,
420,66616.0
421,46526.5
422,36785.0
423,
424,58888.0
425,
426,40383.5
427,18868.0
428,
429,
430,48983.0
431,
432,
433,46244.0
434,
435,45393.5
436,
437,41537.8
438,41959.666666666664
439,57189.64
440,40435.0
441,46990.0
442,59372.25
443,
444,34841.0
445,45117.0
446,
447,39915.25
448,54068.5
449,41296.0
450,56747.5
451,47598.0
452,43758.0
453,40590.0
454,33516.0
455,
456,63546.0
457,43567.0
458,
459,48837.0
460,51542.0
461,
462,50110.0
463,
464,67451.0
465,54890.0
466,
467,44710.0
468,49935.0
469,47301.0
470,35065.0
471,
472,
473,
474,
475,50074.0
476,47232.0
477,54072.0
478,42244.666666666664
479,41038.0
480,57529.0
481,66242.33333333333
482,
483,33437.2
484,
485,
486,31752.333333333332
487,57109.666666666664
488,44891.0
489,61929.0
490,
491,54835.5
492,
493,50169.666666666664
494,
495,68477.0
496,
497,
498,
499,51733.0
500,
501,
502,36212.0
503,
504,37614.0
505,
506,38279.5
507,
508,46015.0
509,36601.0
510,63097.0
511,
512,41785.0
513,41372.0
514,60362.0
515,42955.0
516,
517,
518,
519,
520,
521,45342.5
522,45182.5
523,36060.0
524,39634.0
525,43801.666666666664
526,
527,
528,57678.5
529,
530,62139.4
531,
532,
533,
534,39474.0
535,
536,
537,
538,88045.0
539,39727.5
540,42725.5
541,
542,59660.0
543,41900.0
544,
545,
546,
547,
548,
549,
550,51803.0
551,
552,
553,44450.0
554,
555,
556,31761.0
557,
558,32610.0
559,
560,35582.0
561,
562,
563,
564,31120.5
565,58105.0
566,
567,66286.0
568,38058.5
569,
570,
571,74791.66666666667
572,85226.66666666667
573,36767.0
574,
575,
576,
577,
578,
579,71029.5
580,
581,45050.0
582,60746.0
583,
584,38187.0
585,
586,89194.5
587,
588,
589,
590,
591,
592,
593,
594,
595,
596,
597,
598,
599,47474.0
600,
601,
602,
603,74296.0
604,
605,
606,
607,28969.0
608,23580.0
609,
610,
611,
612,
613,
614,28461.0
615,
616,45363.0
617,
618,
619,
620,
621,
622,
623,
624,
625,
626,69494.0
627,33803.0
628,
629,
630,
631,
632,41236.0
633,
634,
635,90423.0
636,
637,
638,76043.0
639,
640,100370.0
641,93691.5
642,91600.0
643,88943.0
644,
645,
646,
647,35985.0
648,
649,
650,
651,
652,26429.0
653,
654,
655,28712.0
656,56062.230769230766
657,72673.5
658,36560.5
659,51863.086956521736
660,
